comparison,language,noise_level,layer,n,mean,std,median,min,max
Formal_vs_Noisy,English,Formal_vs_SMS,2,50,0.0403113,0.018994149,0.03551036,0.011196554,0.09234464
Formal_vs_Noisy,English,Formal_vs_SMS,6,50,0.05188441,0.0185945,0.04732409,0.020478308,0.10779488
Formal_vs_Noisy,English,Formal_vs_SMS,12,50,0.0045925854,0.001799411,0.0045285225,0.0011038184,0.00931859
Formal_vs_Noisy,Hindi,Formal_vs_SMS,2,100,0.054798506,0.022638412,0.053382605,0.019630075,0.10937536
Formal_vs_Noisy,Hindi,Formal_vs_SMS,6,100,0.05060691,0.02126868,0.045662075,0.018919647,0.12086618
Formal_vs_Noisy,Hindi,Formal_vs_SMS,12,100,0.0042555844,0.002161049,0.0034620166,0.0014714003,0.012270331
Formal_vs_Noisy,Marathi,Formal_vs_SMS,2,100,0.057942003,0.020001855,0.058716476,0.010251343,0.110315025
Formal_vs_Noisy,Marathi,Formal_vs_SMS,6,100,0.04879986,0.017444408,0.049530745,0.010788679,0.104197204
Formal_vs_Noisy,Marathi,Formal_vs_SMS,12,100,0.004374834,0.0018733569,0.0040916502,0.0010211468,0.010254145
Native_vs_Romanized,Hindi,Formal,2,50,0.099329144,0.017939331,0.101276934,0.055169463,0.13448119
Native_vs_Romanized,Hindi,Formal,6,50,0.07622649,0.01860908,0.07561046,0.0384444,0.1178146
Native_vs_Romanized,Hindi,Formal,12,50,0.008690041,0.002155343,0.008818805,0.0044335127,0.012868047
Native_vs_Romanized,Hindi,SMS/Noisy,2,50,0.08209722,0.023133978,0.078205585,0.03711897,0.15518594
Native_vs_Romanized,Hindi,SMS/Noisy,6,50,0.06370558,0.02248211,0.05726376,0.027761221,0.13845152
Native_vs_Romanized,Hindi,SMS/Noisy,12,50,0.006330481,0.0015167568,0.0062398612,0.0022972822,0.0108165145
Native_vs_Romanized,Marathi,Formal,2,50,0.1141067,0.018087924,0.11271247,0.07263994,0.15465665
Native_vs_Romanized,Marathi,Formal,6,50,0.08916044,0.015181843,0.0885337,0.06138718,0.13687867
Native_vs_Romanized,Marathi,Formal,12,50,0.009137707,0.0017460474,0.009291023,0.005549431,0.013812482
Native_vs_Romanized,Marathi,SMS/Noisy,2,50,0.10062467,0.025653547,0.100524396,0.055746615,0.18610168
Native_vs_Romanized,Marathi,SMS/Noisy,6,50,0.08308834,0.019268973,0.08242309,0.04453206,0.13927364
Native_vs_Romanized,Marathi,SMS/Noisy,12,50,0.00800286,0.0018430385,0.007980794,0.003832996,0.013845265
