language,effect,layer,n,mean,std
English,Noise Shift,2,50,0.0403113031387329,0.0189941428544175
English,Noise Shift,6,50,0.0518844056129455,0.0185944835407841
English,Noise Shift,12,50,0.0045925748348236,0.0017994030571863
Hindi,Noise Shift,2,100,0.0547984683513641,0.022638393742074
Hindi,Noise Shift,6,100,0.050606922507286,0.0212686967735959
Hindi,Noise Shift,12,100,0.0042556059360504,0.0021610304420569
Hindi,Script Shift,2,100,0.0907131481170654,0.0223418004101479
Hindi,Script Shift,6,100,0.0699660515785217,0.0214745729738571
Hindi,Script Shift,12,100,0.0075102603435516,0.0022008851725652
Marathi,Noise Shift,2,100,0.0579420059919357,0.0200018771967061
Marathi,Noise Shift,6,100,0.0487998461723327,0.0174443915125986
Marathi,Noise Shift,12,100,0.0043748253583908,0.0018733464914226
Marathi,Script Shift,2,100,0.1073656904697418,0.0230989785430017
Marathi,Script Shift,6,100,0.0861243945360183,0.0175260200767571
Marathi,Script Shift,12,100,0.0085702711343765,0.0018749332964658
